"lang_iso_code","es"
"Unicode characters support (Unicode allows you to enter characters in all fonts and various symbols simultaneously. Is used for Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message)","Soporte del set de signos Unicode (Unicode posibilita utilizar a la vez distintos tipos de letra, símbolos y signos diacríticos. Está utilizado para idiomas como chino, árabe, griego, hebreo, coreano, etc.)"
"TEXT SENDER ID","NÚMERO DEL REMITENTE TEXTUAL"
"Text sender ID","Número del remitente textual"
"SYSTEM NUMBER","NÚMERO DEL SISTEMA"
"OWN NUMBER SENDER ID","NÚMERO PROPIO DEL REMITENTE"
"SIM HOSTING","SIM HOSTING"
"UNICODE SUPPORTED","UNICODE APOYADO"
"UNICODE NOT SUPPORTED","UNICODE NO APOYADO"
"SAVE SMS SETTINGS","GUARDAR EL AJUSTAMIENTO DE SMS"
"Are you sure to delete","De verdad quiere eliminar"
"Select country: ","Elija el país: "
"SMS settings - not active","Ajustamiento de SMS - inactivo"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","¡Perfil del usuario es inactivo! Regístrese haciendo clic en el marcador sms en menú principal. Módulo le enseñará el formulario para registrarse. En caso de que ha utilizado el módulo en pasado ya y conoce su nombre de usuario y su contraseña, rellene el formulario para la cuenta ya existente. En caso contrario introduzca su correo electrónico, acepta los Términos de Licencia y haga clic en ""Registrar""."
"error","error"
"can not connect to SMS server","no se puede conectar al SMS servidor"
" was deleted."," ha sido eliminado."
"choose sender type","elija el tipo del remitente"
" was saved."," ha sido guardado."
"fill in own number sender ID","rellena el número propio del remitente"
"own number sender ID must be number","número propio del remitente debe ser número"
"correctly confirm sms code","confirma correctamente el SMS código"
"Own number sender ID for ","el número propio del remitente para "
" was saved."," ha sido guardado."
"error - ","error - "
"login error","error de inicio de la seción"
"Now retype SMS code.","Ahora copie el SMS código."
"Now retype SMS code. SMS will be send in next 60 seconds.","Ahora copie el SMS código. SMS mensaje se enviará en próximos 60 segundos."
"error - wrong number or unavailable","error - número de teléfono incorrecto o inaccesible"
"error - unauthorized senderID in confirmation sms","error - ID del remitente no autorizado en el SMS de confirmación"
"error - low credit for sending validation SMS","error - crédito bajo para enviar SMS mensajes de validación"
"fill in text sender ID","Rellena el número del remitente textual"
"fill in text sender ID, 3-11 characters","Rellena el número del remitente textual, 3-11 signos"
"possible characters: ","los signos utilizables "
"text sender ID can't be number","número del remitente textual no puede ser número"
"Text sender ID for ","Número del remitente textual para "
"Admin SMS settings","Ajustamiento/Admin SMS"
"VALIDATE","VALIDAR"
"SMS validation","SMS validación"
"Confirmation code: ","Código: "
"Update pricelist","Actualizar el precio"
"e.g.:","p.ej..:"
"Pricelist was successfully updated.","Lista de precios ha sido actualizada con éxito."
"edit","EDITAR"
"delete","BORRAR"
"Your online stores","Sus tiendas de internet"
"SMS opt-out","SMS opt-out"
"SMS opt-out - setting SMS opt-out option from the cart and SMS charging","SMS opt-out - ajustamiento de la cancelación de los avisos de SMS de la cesta y la tasa de los SMS"
"Select an online store for which you want to set in the cart option to unsubscribe SMS notifications, setup cost of SMS messages and define the text that is displayed to the customer in the cart.","Elija la tienda de internet para cual quiere ajustar que el cliente tenga en la cesta la posibilidad de cancelar los avisos de SMS, ajuste el precio de los mensajes SMS y defina el texto que aparecerá al cliente en la cesta."
"For sending SMS prefer phone nr. from:","Para el envío de los SMS prefiere el número de teléfono de:"
"invoice address","dirección de facturación"
"delivery address","dirección de entrega"
"Price of SMS","Precio de los mensajes SMS"
"Text displayed in the cart","Texto que aparecerá en la cesta"
"Activate displaying SMS opt-out feature in the cart","Activa la aparición de SMS opt-out función en la cesta"
"SMS opt-out is ACTIVE","SMS opt-out es ACTIVA"
"SMS opt-out is NOT ACTIVE. To activate SMS opt-out check the checkbox „Activate displaying SMS opt-out feature in the cart“","SMS opt-out ES INACTIVA. SMS opt-out activará marcándo „Activa la aparición de SMS opt-out función en la cesta“"
"Setting of the SMS opt-out feature was successfully changed","El Ajuste de la SMS opt-out función se ha cambiado con éxito"
"Price of SMS messages has changed in the following countries:","Cambio del precio de los mensajes SMS en los países siguientes:"
"New version available for download:","Nueva versión disponible:"
"Manual:","Guía para SMS módulo (ENG):"
"www.presta-sms.com/manual.html","www.presta-sms.com/manual.html"
"Supported PrestaShop versions:","Las versiones de PrestaShop apoyadas:"
"1.5.x","1.5.x"
"Contact form","Formulario de contacto"
"Remove duplicate numbers","Eliminar duplicados de los números"
"Registration type:","Tipo de registro:"
"Personal","Personal"
"Business","Comercio"
"Address","Dirección"
"Billing information","La información de facturación"
"Contact person","Persona de contacto"
"Enter the name of the company.","Escriba el nombre de la empresa."
"Invalid VAT","IVA inválido"
"Statistics","Estadística"
"Statistics - not active","Statistics - no está activo"
"day","día"
"Date from:","Fecha desde:"
"to:","hasta:"
"Mage SMS module 2013-%s, version ","Mage SMS módulo 2013-%s, versión "
"Supported Magento versions:","Las versiones de Magento apoyadas:"
"www.mage-sms.com/manual.html","www.mage-sms.com/manual.html"
"www.mage-sms.com","www.mage-sms.com"
"www.mage-sms.com/index.html","www.mage-sms.com/es/index.html"
"Removed Customers: ","Clientes eliminados: "
"More...","Más..."
"Saved Filters","Guardadas Filtros"
"Save filter","Guardar filtro"
"Reset filter","Restablecer filtro"
"Filter Name","Nombre del filtro"
"Date","Fecha"
"Filter has been applied.","Filtro se ha aplicado."
"Filter has been saved.","Filtro se ha guardado."
"Filter has been reset.","Filtro se ha restablecido."
"Are you sure you want to reset the filter?","?Está seguro de que desea restablecer el filtro?"
"Are you sure you want to remove the filter?","?Está seguro que desea eliminar el filtro?"
"No filter has been found.","El filtro no encontrado."
"Processing...","Tratamiento..."
"Saved Templates","Plantillas guardadas"
"Save template","Guardar plantilla"
"Template Name","Nombre de la plantilla"
"Template has been loaded.","Plantilla que se ha cargado."
"Template has been saved.","Plantilla se ha guardado."
"Are you sure you want to remove the template?","?Está seguro que desea eliminar la plantilla?"
"No template has been found.","Plantilla no encontrado."
"Virtual operators (MVNO)","Operadores virtuales (MVNO)"
"Select coupon","Seleccionar un cupón"
"Create coupon","Crear un cupón"
"Please Select","Por favor Selecciona"
"SIMULATION","SIMULACIÓN"
"DELETED","ELIMINADO"
"SCHEDULED","PROGRAMADO"
"DO NOT DISTURB registry (DND)","DO NOT DISTURB registro (DND)"
"DUPLICATE","DUPLICAR"
"Add recipients in CSV(.csv, .txt) or vCARD(.vcf)","Anada al receptor en archivo CSV (.csv, .txt) o vCard (.vcf)"
"Returns","Devoluciones"
"We confirm we have received your request to claim the goods.","Confirmación de la queja."
"New claim from customer was received.","Aprobada una nueva reclamación."
"Status of a claim {return_id} has changed to ","Estado de una reclamación {return_id} se ha cambiado a "
". Info from {shop_name}.",". Información de {shop_name}."
"Dear Customer, status of your claim {return_id} has changed to ","Estimado cliente, el estado de su reclamo {return_id} cambió a "
". Have a nice day, {shop_name}.",". Un buen día, {shop_name}."
"ADD/CHANGE TEXT SENDER ID","AÑADIR/CAMBIAR NÚMERO TEXTUAL"
"Add SMS product to cart:","Añadir SMS producto a la cesta:"
"Automatically","automáticamente"
"Manually","a mano"
"SMS opt-out - setting Marketing SMS opt-out option for the customer from the user profile","SMS opt-out - setting Marketing SMS opt-out option for the customer from the user profile"
"Activate displaying Marketing SMS opt-out feature in the user profile","Activate displaying Marketing SMS opt-out feature in the user profile"
