"lang_iso_code","ru"
"Unicode characters support (Unicode allows you to enter characters in all fonts and various symbols simultaneously. Is used for Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message)","Поддержка кодировки Юникод (Юникод позволяет одновременно использовать разные шрифты, символы и диакритические знаки. Его используют для кодировки таких языков, как русский, китайский, арабский, греческий, иврит, корейский и т.п."
"TEXT SENDER ID","текстовое ID отправителя"
"Text sender ID","текстовое ID отправителя"
"SYSTEM NUMBER","СИСТЕМНЫЙ НОМЕР"
"OWN NUMBER SENDER ID","ЛИЧНЫЙ НОМЕР ОТПРАВИТЕЛЯ"
"SIM HOSTING","СИМ ХОСТИНГ"
"UNICODE SUPPORTED","ЮНИКОД ПОДДЕРЖИВАЕТСЯ"
"UNICODE NOT SUPPORTED","ЮНИКОД НЕ ПОДДЕРЖИВАЕТСЯ"
"SAVE SMS SETTINGS","СОХРАНИТЬ СМС НАСТРОЙКИ"
"Are you sure to delete","Вы уверены, что хотите удалить"
"Select country: ","Выберите страну: "
"ADD/CHANGE SELECTED COUNTRY","ДОБАВИТЬ/ИЗМЕНИТЬ ВЫБРАННУЮ СТРАНУ"
"SMS settings - not active","Настройки СМС - неактивны"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Профиль пользователя неактивен! Для регистрации нажмите на вкладку СМС в главном меню. Модуль отобразит окно для ввода регистрационных данных. Используйте модуль, с которым Вы уже работали. Введите имя пользователя и пароль для существующей учетной записи. В противном случае, заполните графу ""электронная почта"", примите условия лицензионного соглашения и нажмите ""зарегистрироваться""."
"error","ошибка"
"can not connect to SMS server","отсутствует соединение с СМС-сервером"
" was deleted."," удалено."
"choose sender type","Выберите тип отправителя"
" was saved."," сохранено."
"fill in own number sender ID","Введите актуальный номер отправителя"
"own number sender ID must be number","Актуальный номер отправителя должен состоять из чисел"
"correctly confirm sms code","Подтвердите правильный СМС код"
"Own number sender ID for ","Личный номер отправителя для "
" was saved."," сохранено."
"error - ","ошибка"
"login error","ошибка авторизации"
"Now retype SMS code.","Перепишите СМС код"
"Now retype SMS code. SMS will be send in next 60 seconds.","Перепишите СМС код. СМС сообщение будет отправлено в течение 60 секунд"
"error - wrong number or unavailable","ошибка - неверно набранный номер или номер вне зоны доступа"
"error - unauthorized senderID in confirmation sms","ошибка - неавторизованный ID отправителя в ответной СМС"
"error - low credit for sending validation SMS","ошибка - недостаточно средств на счету для отправки контрольного СМС сообщения"
"fill in text sender ID","Введите текстовое ID отправителя"
"fill in text sender ID, 3-11 characters","Введите текстовое ID отправителя, 3-11 символов"
"possible characters: ","Разрешается использовать символы:"
"text sender ID can't be number","текстовое ID отправителя не может состоять из чисел"
"Text sender ID for ","текстовое ID отправителя для "
"Admin SMS settings","Настройки системы Админ СМС"
"VALIDATE","ПРОВЕРКА"
"SMS validation","СМС проверка"
"Confirmation code: ","Коd: "
"Update pricelist","Обновить цену"
"e.g.:","например,"
"Pricelist was successfully updated.","Прайслист был успешно обновлен"
"edit","редактировать"
"delete","удалить"
"Your online stores","Ваши интернет-магазины"
"SMS opt-out","Подписка на СМС сообщения"
"SMS opt-out - setting SMS opt-out option from the cart and SMS charging","Подписка на СМС сообщения - настройка подписки на уведомления с помощью СМС сообщений и их оплата"
"Select an online store for which you want to set in the cart option to unsubscribe SMS notifications, setup cost of SMS messages and define the text that is displayed to the customer in the cart.","Выберите интернет-магазин, для которого Вы хотите настроить функцию отказа заказчика от СМС уведомлений, введите цену и текст СМС сообщений, который будет отображен в корзине заказчика."
"For sending SMS prefer phone nr. from:","Для отправки СМС сообщений изберите телефонный номер из:"
"invoice address","платежного адреса"
"delivery address","адреса доставки"
"Price of SMS","Цена СМС сообщений"
"Text displayed in the cart","Текст, отображенный в корзине"
"Activate displaying SMS opt-out feature in the cart","Активируйте функцию отображения отказа от СМС сообщений в корзине"
"SMS opt-out is ACTIVE","Отказ от СМС сообщений АКТИВЕН"
"SMS opt-out is NOT ACTIVE. To activate SMS opt-out check the checkbox „Activate displaying SMS opt-out feature in the cart“","Отказ от СМС сообщений НЕАКТИВЕН. Активируйте отказ от СМС сообщений с помощью выбора «Активизируйте отображение функции отказа от СМС сообщений в корзине»"
"Setting of the SMS opt-out feature was successfully changed","Настройка функции отказа от СМС сообщений была успешно изменена"
"Price of SMS messages has changed in the following countries:","Изменение цены за СМС сообщения в следующих странах:"
"New version available for download:","Доступна новая версия:"
"Manual:","Руководство про смс mодуль (ENG):"
"www.presta-sms.com/manual.html","www.presta-sms.com/manual.html"
"Supported PrestaShop versions:","Поддерживаемые версии PrestaShop:"
"1.5.x","1.5.x"
"Contact form","Контактная форма"
"Remove duplicate numbers","Удалить дубликаты номеров"
"Registration type:","Тип регистрации:"
"Personal","персональный"
"Business","бизнес"
"Address","Aдрес"
"Billing information","Платежная информация"
"Contact person","Контактное лицо"
"Enter the name of the company.","Введите название компании."
"Invalid VAT","Неверный НДС"
"Statistics","Cтатистика"
"Statistics - not active","Cтатистика - не активна"
"day","день"
"Date from:","Дата от:"
"to:","до:"
"Mage SMS module 2013-%s, version ","Mage CMC Модуль 2013-%s, версия "
"Supported Magento versions:","Поддерживаемые версии Magento:"
"www.mage-sms.com/manual.html","www.mage-sms.com/manual.html"
"www.mage-sms.com","www.mage-sms.com"
"www.mage-sms.com/index.html","www.mage-sms.com/ru/index.html"
"SIMULATION","МОДЕЛИРОВАНИЕ"
"DELETED","УДАЛЕННЫЕ"
"SCHEDULED","ОТЛОЖЕННЫЕ"
"DUPLICATE","дубликат"
"ADD/CHANGE TEXT SENDER ID","ДОБАВИТЬ/ИЗМЕНИТЬ ТЕКСТОВОЕ ID"
"Add SMS product to cart:","Добавить товар CMC в корзину:"
"Automatically","автоматически"
"Manually","вручную"
"SMS opt-out - setting Marketing SMS opt-out option for the customer from the user profile","SMS opt-out - setting Marketing SMS opt-out option for the customer from the user profile"
"Activate displaying Marketing SMS opt-out feature in the user profile","Activate displaying Marketing SMS opt-out feature in the user profile"
