"lang_iso_code","fr"
"SMS PRICE<br />IN CREDITS","PRIX EN CRÉDITS"
"SMS PRICE IN EUR (excl. VAT)","PRIX DU SMS EN EUR (sans TVA)"
"payment","paiement"
"Unicode ","Unicode "
"Unicode characters support (Unicode allows you to enter characters in all fonts and various symbols simultaneously. Is used for Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message)","Soutien au codage des caractères Unicode (Unicode permet d´utiliser en même temps des fontes, symboles et diacritiques différents. Il est utilisé pour les langues comme le chinois, l´arabe, le grec, l´hébreu, le coréen etc.)"
"TEXT SENDER ID","LE SENDER ID DE L´EXPÉDITEUR"
"Text sender ID","Le Sender ID de l´expéditeur"
"SYSTEM NUMBER","NUMÉRO DE SYSTEME"
"OWN NUMBER SENDER ID","NUMÉRO DE L´EXPÉDITEUR"
"SIM HOSTING","SIM HOSTING"
"UNICODE SUPPORTED","UNICODE FAVORISÉ"
"UNICODE NOT SUPPORTED","UNICODE NON FAVORISÉ"
"SAVE SMS SETTINGS","SAUVEGARDER LES PARAMETRES DE SMS"
"Are you sure to delete","Vous êtes sûr de vouloir supprimer"
"Select country: ","Choisissez le pays: "
"SMS settings - not active","Paramètres de SMS - inactif­"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Le profil d´utilisateur est inactif! Inscrivez-vous en cliquant sur l´onglet SMS dans le menu principal. Module vous visualisera le formulaire d´inscription.Si vous avez déjà utilisé le module dans le passé et vous connaissez votre nom d´utilisateur et votre mot de passe remplissez donc le formulaire pour le compte existant. Dans le cas contraire entrez votre email, approuvez les termes et conditions de licence et cliquez sur ""S´inscrire""."
"error","erreur"
"can not connect to SMS server","impossible de se connecter au serveur SMS"
" was deleted."," il a été supprimé."
"choose sender type","choisissez le type du Sender ID l´expéditeur"
" was saved."," il a été sauvegardé."
"fill in own number sender ID","entrez le Sender ID de l´expéditeur"
"own number sender ID must be number","Le Sender ID de l´expéditeur doit être un numéro"
"correctly confirm sms code","confirmez le code de sms"
"Own number sender ID for ","Le Sender ID de l´expéditeur pour "
" was saved."," a été sauvegardé."
"error - ","erreur - "
"login error","erreur d´authentification"
"Now retype SMS code.","Réécrivez le code de sms."
"Now retype SMS code. SMS will be send in next 60 seconds.","Réécrivez le code de sms. Le message SMS sera envoyé en une minute."
"error - wrong number or unavailable","erreur - mauvais numéro ou numéro inaccessible"
"error - unauthorized senderID in confirmation sms","erreur - ID de l´expéditeur non autorisé dans le SMS de confirmation"
"error - low credit for sending validation SMS","erreur - crédit insuffisant pour envoyer le message SMS"
"fill in text sender ID","Entrez le Sender ID de l´expéditeur"
"fill in text sender ID, 3-11 characters","Entrez le Sender ID de l´expéditeur, de 3 à 11 caractères"
"possible characters: ","caractères autorisés: "
"text sender ID can't be number","le Sender ID de l´expéditeur ne dois pas être un numéro"
"Text sender ID for ","le Sender ID de l´expéditeur pour "
"Admin SMS settings","Paramètres­ de SMS Admin"
"VALIDATE","VALIDER"
"SMS validation","validation de SMS"
"Confirmation code: ","Code: "
"Update pricelist","Mise à jour du prix"
"e.g.:","e.g.:"
"Pricelist was successfully updated.","Le tarif a été mis à jour."
"edit","ajuster"
"delete","supprimer"
"Your online stores","Vos boutiques en ligne"
"SMS opt-out","SMS opt-out"
"SMS opt-out - setting SMS opt-out option from the cart and SMS charging","SMS opt-out - ajustement de l´annulation de SMS avertissement dans le panier et tarification de SMS"
"Select an online store for which you want to set in the cart option to unsubscribe SMS notifications, setup cost of SMS messages and define the text that is displayed to the customer in the cart.","Choisissez la boutique en ligne pour laquelle vous désirez ajuster que le client ait la possibilité d´annuler le SMS avertissement dans le panier, ajustez le prix de SMS et définissez le texte que le client verra dans le panier."
"For sending SMS prefer phone nr. from:","Pour envoyer des SMS favorisez le numéro de téléphone de:"
"invoice address","adresses de facturation"
"delivery address","adresses de livraison"
"Price of SMS","Prix de SMS"
"Text displayed in the cart","Texte visualisé dans la panier"
"Activate displaying SMS opt-out feature in the cart","Activez la visualisation de la fonction SMS opt-out dans le panier"
"SMS opt-out is ACTIVE","SMS opt-out est ACTIF"
"SMS opt-out is NOT ACTIVE. To activate SMS opt-out check the checkbox „Activate displaying SMS opt-out feature in the cart“","SMS opt-out est INACTIF. Activez le SMS opt-out en cochant „Activer la visualisation de la fonction SMS opt-out dans le panier.“"
"Setting of the SMS opt-out feature was successfully changed","Ajustement de la fonction SMS opt-out a été changé avec succès"
"Price of SMS messages has changed in the following countries:","Changement du prix de SMS pour les pays suivants:"
"New version available for download:","Nouvelle version disponible:"
"Manual:","Mode d´emploi pour le SMS module (anglais):"
"www.presta-sms.com/manual.html","www.presta-sms.com/manual.html"
"Supported PrestaShop versions:","Versions soutenues de PrestaShop:"
"1.5.x","1.5.x"
"Contact form","Formulaire de contact"
"Remove duplicate numbers","Suppression des doublons de numéros"
"Registration type:","Type d'inscription:"
"Personal","Personnel"
"Business","Entreprise"
"Address","Adresse"
"Billing information","Informations de facturation"
"Contact person","Personne à contacter"
"Enter the name of the company.","Entrez le nom de la société."
"Invalid VAT","TVA invalide"
"Statistics","Statistiques"
"Statistics - not active","Statistiques - pas actif"
"day","jour"
"Date from:","Date de:"
"to:","à:"
"Mage SMS module 2013-%s, version ","Mage SMS module 2013-%s, version "
"Supported Magento versions:","Versions soutenues de Magento:"
"www.mage-sms.com/manual.html","www.mage-sms.com/manual.html"
"www.mage-sms.com","www.mage-sms.com"
"www.mage-sms.com/index.html","www.mage-sms.com/fr/index.html"
"Removed Customers: ","Clients supprimé: "
"More...","Plus..."
"Saved Filters","Filtres enregistrés"
"Save filter","Enregistrer le filtre"
"Reset filter","Reset filter"
"Filter Name","Nom du filtre"
"Date","Date"
"Filter has been applied.","Filtre a été appliqué."
"Filter has been saved.","Filtre a été enregistré."
"Filter has been reset.","Filtre a été réinitialisé."
"Are you sure you want to reset the filter?","Etes-vous sur de vouloir réinitialiser le filtre?"
"Are you sure you want to remove the filter?","Etes-vous sur que vous voulez supprimer le filtre?"
"No filter has been found.","Le filtre n'a pas été trouvé."
"Processing...","Traitement..."
"Saved Templates","Templates enregistrés"
"Save template","Enregistrer le template"
"Template Name","Nom template"
"Template has been loaded.","Le template a été chargé."
"Template has been saved.","Le template a été enregistré."
"Are you sure you want to remove the template?","Etes-vous sur de vouloir supprimer le template?"
"No template has been found.","Template introuvable."
"Virtual operators (MVNO)","Opérateurs virtuels (MVNO)"
"Select coupon","Sélectionner un bon de réduction"
"Create coupon","Créez un bon de réduction"
"Please Select","Sélectionner"
"SIMULATION","SIMULATION"
"DELETED","SUPPRIMER"
"SCHEDULED","PRÉVUE"
"DO NOT DISTURB registry (DND)","DO NOT DISTURB registre (DND)"
"DUPLICATE","DUPLICATA"
"Add recipients in CSV(.csv, .txt) or vCARD(.vcf)","Ajouter le destinataire dans le fichier CSV (.csv, .txt) ou vCard (.vcf)"
"Returns","Retours"
"We confirm we have received your request to claim the goods.","Accusé de réception de la plainte."
"New claim from customer was received.","Nouveau retour reçu."
"Status of a claim {return_id} has changed to ","État de la retour {return_id} a changé en "
". Info from {shop_name}.",". Info provenant de {shop_name}."
"Dear Customer, status of your claim {return_id} has changed to ","Cher client, état de votre retoure {return_id} a changé en "
". Have a nice day, {shop_name}.",". Info provenant de {shop_name}."
"ADD/CHANGE TEXT SENDER ID","AJOUTER/MODIFIER TEXTE SENDER ID"
"Add SMS product to cart:","Ajouter le SMS produit au panier:"
"Automatically","Automatique"
"Manually","Manuellement"
"SMS opt-out - setting Marketing SMS opt-out option for the customer from the user profile","SMS opt-out - setting Marketing SMS opt-out option for the customer from the user profile"
"Activate displaying Marketing SMS opt-out feature in the user profile","Activate displaying Marketing SMS opt-out feature in the user profile"
