"lang_iso_code","tr"
"SMS PRICE IN EUR (excl. VAT)","AVRUPA SMS FİYAT LİSTESİ (Hariç KDV)"
"payment","ödeme"
"Unicode ","Unicode "
"Unicode characters support (Unicode allows you to enter characters in all fonts and various symbols simultaneously. Is used for Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message)","Unicode karakter desteği (Unicode seçeneği farklı karakterleri ve font çeşitlerini gönderebilmenize olanak tanır. Çince, Arapça, Yunanca, Korece gibi dillerde SMS metni yazabilmenizi sağlar.)"
"TEXT SENDER ID","METİN GÖNDERİCİ ID"
"Text sender ID","METİN GÖNDERİCİ ID"
"SYSTEM NUMBER","SİSTEM NUMARASI"
"OWN NUMBER SENDER ID","KENDİ NUMARANIZLA GÖNDERİM ID"
"SIM HOSTING","SIM HOSTING"
"UNICODE SUPPORTED","UNICODE DESTEĞİ VAR"
"UNICODE NOT SUPPORTED","UNICODE DESTEKLENMİYOR"
"SAVE SMS SETTINGS","SMS AYARLARINI KAYDET"
"Are you sure to delete","Silmek istiyormusunuz"
"Select country: ","Ülke seç: "
"ADD/CHANGE SELECTED COUNTRY","SEÇİLEN ÜLKE EKLE/DEĞİŞTİR"
"SMS settings - not active","SMS ayarları - aktif değil"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Kullanıcı profili aktif değil! Kaydolmak için ana menüdeki SMS sekmesine tıklayın. Modülümüzü daha önce kullandıysanız, kullanıcı adı ve parolanızı biliyorsanız, mevcut hesap bilgilerini girin. Yoksa yeni hesap oluşturmak için mail adresinizi girin ve kullanıcı lisans sözleşmesini kabul edin."
"error","hata"
"can not connect to SMS server","SMS sunucusuna bağlanılamadı"
" was deleted."," silindi."
"choose sender type","gönderici tipini seçin"
" was saved."," kaydedildi."
"fill in own number sender ID","Kendi numaranız için gönderici ID'si girin"
"own number sender ID must be number","Kendi numaranıziçin gönderici ID'si numaralardan oluşmalıdır."
"correctly confirm sms code","SMS kodunuzu doğru şekilde onaylayın"
"Own number sender ID for ","Kendi numaranız için gönderici ID'si "
" was saved."," kaydedildi."
"error - ","hata - "
"login error","Giriş hatası"
"Now retype SMS code.","Şimdi SMS kodunu yeniden girin."
"Now retype SMS code. SMS will be send in next 60 seconds.","Şimdi SMS kodunu yeniden girin. SMS 60 saniye içinde gönderilecek."
"error - wrong number or unavailable","hata - yanlış veya uygun olmayan numara"
"error - unauthorized senderID in confirmation sms","hata - SMS onayı için yetkilendirilmemiş gönderici ID'si"
"error - low credit for sending validation SMS","hata - Geçerli SMS gönderimi için düşük kredi"
"fill in text sender ID","Metin gönderici ID'sini doldur"
"fill in text sender ID, 3-11 characters","Metin gönderici ID'sini doldur. 3-11 karakter"
"possible characters: ","uygun karakterler: "
"text sender ID can't be number","metin gönderici ID'si numaralardan oluşamaz"
"Text sender ID for ","Metin gönderim ID "
"Admin SMS settings","Yönetici SMS Ayarları"
"VALIDATE","GEÇERLİLİK"
"SMS validation","SMS geçerliliği"
"Confirmation code: ","Doğrulama kodu: "
"Update pricelist","Fiyat listesini güncelle"
"e.g.:","e.g.:"
"Pricelist was successfully updated.","Fiyat listesi başarıyla güncellendi."
"edit","düzenle"
"delete","sil"
"Your online stores","Your online stores"
"SMS opt-out","SMS opt-out"
"SMS opt-out - setting SMS opt-out option from the cart and SMS charging","SMS opt-out - setting SMS opt-out option from the cart and SMS charging"
"Select an online store for which you want to set in the cart option to unsubscribe SMS notifications, setup cost of SMS messages and define the text that is displayed to the customer in the cart.","Select an online store for which you want to set in the cart option to unsubscribe SMS notifications, setup cost of SMS messages and define the text that is displayed to the customer in the cart."
"For sending SMS prefer phone nr. from:","For sending SMS prefer phone nr. from:"
"invoice address","invoice address"
"delivery address","delivery address"
"Price of SMS","Price of SMS"
"Text displayed in the cart","Text displayed in the cart"
"Activate displaying SMS opt-out feature in the cart","Activate displaying SMS opt-out feature in the cart"
"SMS opt-out is ACTIVE","SMS opt-out is ACTIVE"
"SMS opt-out is NOT ACTIVE. To activate SMS opt-out check the checkbox „Activate displaying SMS opt-out feature in the cart“","SMS opt-out is NOT ACTIVE. To activate SMS opt-out check the checkbox „Activate displaying SMS opt-out feature in the cart“"
"Setting of the SMS opt-out feature was successfully changed","Setting of the SMS opt-out feature was successfully changed"
"Price of SMS messages has changed in the following countries:","Price of SMS messages has changed in the following countries:"
"New version available for download:","New version available for download:"
"Manual:","SMS Modülü Kullanım Klavuzu (İngilizce):"
"www.presta-sms.com/manual.html","www.presta-sms.com/manual.html"
"Supported PrestaShop versions:","Desteklenen Prestashop Sürümleri:"
"1.5.x","1.5.x"
"Contact form","İletişim Formu"
"Remove duplicate numbers","Numaraları yinelenen kaldırmak"
"Registration type:","Kayıt tipi:"
"Personal","kişisel"
"Business","şirket"
"Address","Adres"
"Billing information","Fatura bilgileri"
"Contact person","Kişiye başvurun"
"Enter the name of the company.","Şirketin adını girin."
"Invalid VAT","Geçersiz KDV"
"Statistics","Istatistik"
"Statistics - not active","Istatistik - aktif değil"
"day","gün"
"Date from:","Tarihi:"
"to:","şuna:"
"Mage SMS module 2013-%s, version ","Mage SMS module 2013-%s version "
"Supported Magento versions:","Desteklenen Magento Sürümleri:"
"www.mage-sms.com/manual.html","www.mage-sms.com/manual.html"
"www.mage-sms.com","www.mage-sms.com"
"www.mage-sms.com/index.html","www.mage-sms.com/tr/index.html"
"SIMULATION","SİMÜLASYON"
"DELETED","SİLİNDİ"
"SCHEDULED","PLANLI"
"DO NOT DISTURB registry (DND)","DO NOT DISTURB registry (DND)"
"DUPLICATE","çift"
"ADD/CHANGE TEXT SENDER ID","METİN GÖNDERİCİ ID EKLE/DEĞİŞTİR"
"Add SMS product to cart:","Sms ürününü karta ekleyin:"
"Automatically","Otomatik olarak"
"Manually","Manuel olarak"
"SMS opt-out - setting Marketing SMS opt-out option for the customer from the user profile","SMS opt-out - setting Marketing SMS opt-out option for the customer from the user profile"
"Activate displaying Marketing SMS opt-out feature in the user profile","Activate displaying Marketing SMS opt-out feature in the user profile"
