"lang_iso_code","it"
"Are you sure to delete","Veramente eliminare?"
"Select country: ","Seleziona paese: "
"SMS settings - not active","Impostazioni SMS - non attivo"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Profilo utente non è attivo! Per registrarti clicca sulla scheda SMS nel menu principale. Modulo visualizza la schermata per l`inserimento dei dati di registrazione. Se hai gia utilizzato il nostro modulo in passato e ricordi il tuo nome utente e password, compila il modulo per il tuo conto. In caso contrario, inserischi la tua e-mail, accetti le condizioni di licenza e clicca per registrarti."
"error","errore"
"can not connect to SMS server","non connesso a SMS server"
" was deleted."," e stato cancellato."
"choose sender type","scegliere il tipo del mittente"
" was saved."," e stato salvato."
"fill in own number sender ID","compila il numero proprio"
"own number sender ID must be number","numero proprio deve essere cifra"
"correctly confirm sms code","corretamente sms codice"
"Own number sender ID for ","numero proprio per "
" was saved."," e stato salvato."
"error - ","errore - "
"login error","login errore"
"Now retype SMS code.","Adesso riscrivi SMS codice."
"Now retype SMS code. SMS will be send in next 60 seconds.","Adesso riscrivi SMS codice. SMS viene manadata entro 60 secondi."
"error - wrong number or unavailable","errore - numero sbagliato o non disponibile"
"error - unauthorized senderID in confirmation sms","errore - SenderID non autorizzato per sms conferma"
"error - low credit for sending validation SMS","errore - basso credito per l`invio di SMS di validazione"
"fill in text sender ID","compila testo di identificazione di mittente"
"fill in text sender ID, 3-11 characters","compila testo di identificazione di mittente, 3-11 caratteri"
"possible characters: ","caratteri possibili: "
"text sender ID can't be number","identificazione di testo non puo essere numero"
"Text sender ID for ","identificazione come testo per "
"Admin SMS settings","Admin SMS impostazioni"
"VALIDATE","VALIDARE"
"SMS validation","SMS validazione"
"Confirmation code: ","Codice di conferma: "
"Update pricelist","Aggiornare listino prezzi"
"e.g.:","e.g.:"
"Pricelist was successfully updated.","Listino dei prezzi aggiornato con successo."
"edit","modificare"
"delete","cancelare"
"Your online stores","I vostri negozi online"
"SMS opt-out","SMS opt-out"
"SMS opt-out - setting SMS opt-out option from the cart and SMS charging","SMS opt-out - impostazione dell’opzione SMS opt-out nel carrello e il pagamento del SMS"
"Select an online store for which you want to set in the cart option to unsubscribe SMS notifications, setup cost of SMS messages and define the text that is displayed to the customer in the cart.","Segliere il negozio online per il quale si vuogliono fare l’impostazioni nel carrelllo per annullare l’iscrizione per le notifiche SMS, definire il costo dei SMS e definire il testo che verra visualizzato dal cliente nel carrello."
"For sending SMS prefer phone nr. from:","Per mandare gli SMS si preferisce il numero dal:"
"invoice address","indirizzo di fatturazione"
"delivery address","indirizzo di consegna"
"Price of SMS","prezzo del SMS"
"Text displayed in the cart","Il testo visualizzato nel carrello"
"Activate displaying SMS opt-out feature in the cart","Attivare la visualizzazione dell‘opzione SMS opt-out nel carrello"
"SMS opt-out is ACTIVE","SMS opt-out NON è ATTIVO"
"SMS opt-out is NOT ACTIVE. To activate SMS opt-out check the checkbox „Activate displaying SMS opt-out feature in the cart“","SMS opt-out NON è ATTIVO. Per attivare SMS opt-out segnalare la cassella „Attivare la visualizzazione dell’opzione SMS opt-out nel carrello“"
"Setting of the SMS opt-out feature was successfully changed","L’impostazione dell-opzione SMS opt-out e cambiata con successo"
"Price of SMS messages has changed in the following countries:","Il prezzo del SMS e cambiato nei paesi seguenti:"
"New version available for download:","La versione nuova disponibile per il scaricamento:"
"Manual:","Manuale per SMS Modulo (ENG):"
"www.presta-sms.com/manual.html","www.presta-sms.com/manual.html"
"Supported PrestaShop versions:","Versioni supportate del Prestashop:"
"1.5.x","1.5.x"
"Contact form","Modulo di contatto"
"Remove duplicate numbers","Rimuovere numeri duplicati"
"Registration type:","Tipo di registrazione:"
"Personal","Personale"
"Business","Commercio"
"Address","Indirizzo"
"Billing information","Dati di fatturazione"
"Contact person","Persona di contatto"
"Enter the name of the company.","Inserire il nome della società."
"Invalid VAT","IVA non valido"
"Statistics","Statistiche"
"Statistics - not active","Statistiche - non attivo"
"day","giorno"
"Date from:","Data dal:"
"to:","a:"
"Mage SMS module 2013-%s, version ","Mage SMS module 2013-%s versione "
"Supported Magento versions:","Versioni supportate del Magento:"
"www.mage-sms.com/manual.html","www.mage-sms.com/manual.html"
"www.mage-sms.com","www.mage-sms.com"
"www.mage-sms.com/index.html","www.mage-sms.com/it/index.html"
"Removed Customers: ","Clienti rimosso: "
"More...","Altro..."
"Saved Filters","Filtri salvate"
"Save filter","Salvare il filtro"
"Reset filter","Azzera il filtro"
"Filter Name","Nome filtro"
"Date","Date"
"Filter has been applied.","Filtro e stato applicato."
"Filter has been saved.","Filter e stato registrato."
"Filter has been reset.","Filter e stato resettato."
"Are you sure you want to reset the filter?","Sei sicuro di voler azzerare il filtro?"
"Are you sure you want to remove the filter?","Sei sicuro di voler rimuovere il filtro?"
"No filter has been found.","Il filtro non trovato."
"Processing...","Elaborazione..."
"Saved Templates","Templati salvati"
"Save template","Salva template"
"Template Name","Nome template"
"Template has been loaded.","Template e stato caricato."
"Template has been saved.","Template e stato salvato."
"Are you sure you want to remove the template?","Sei sicuro di voler rimuovere il templato?"
"No template has been found.","Template non trovato."
"Virtual operators (MVNO)","Operatori virtuali (MVNO)"
"Select coupon","Selezionare un buoni sconto"
"Create coupon","Creare un buoni sconto"
"Please Select","Seleziona"
"SIMULATION","SIMULAZIONE"
"DELETED","RIMOSSO"
"SCHEDULED","PREVISTA"
"DO NOT DISTURB registry (DND)","DO NOT DISTURB registro (DND)"
"DUPLICATE","DUPLICATO"
"Add recipients in CSV(.csv, .txt) or vCARD(.vcf)","Aggiungere i destinatari in file CSV (.csv, .txt) o vCard (.vcf)"
"Returns","Restituzioni"
"We confirm we have received your request to claim the goods.","Ricevimento del restituzione."
"New claim from customer was received.","Nuovo restituzioni ha ricevuto."
"Status of a claim {return_id} has changed to ","Stato dell`restituzione {return_id} e stato cambiato a "
". Info from {shop_name}.",". Informazione da {shop_name}."
"Dear Customer, status of your claim {return_id} has changed to ","Gentile Cliente, lo stato del tuo restituzione {return_id} ha cambiato a "
". Have a nice day, {shop_name}.",". Buona giornata, {shop_name}."
"ADD/CHANGE TEXT SENDER ID","AGGIUNGERE/SELEZIONA TESTO COME NUMERO"
"Add SMS product to cart:","Aggiungi il prodotto SMS al carrello:"
"Automatically","automaticamente"
"Manually","manualmente"
"SMS opt-out - setting Marketing SMS opt-out option for the customer from the user profile","SMS opt-out - setting Marketing SMS opt-out option for the customer from the user profile"
"Activate displaying Marketing SMS opt-out feature in the user profile","Activate displaying Marketing SMS opt-out feature in the user profile"
