"lang_iso_code","cs"
"Removed Customers: ","Odebraní zákazníci: "
"More...","Více..."
"Saved Filters","Uložené filtry"
"Save filter","Uložit filtr"
"Reset filter","Vynulovat filtr"
"Filter Name","Název filtru"
"Date","Datum uložení"
"Filter has been applied.","Filtr byl aplikován."
"Filter has been saved.","Filtr byl uložen."
"Filter has been reset.","Filtr byl vynulován."
"Are you sure you want to reset the filter?","Opravdu chcete filtr vynulovat?"
"Are you sure you want to remove the filter?","Opravdu chcete filtr smazat?"
"No filter has been found.","Žádný filtr nebyl nalezen."
"Processing...","Zpracovávám..."
"Saved Templates","Uložené šablony"
"Save template","Uložit šablonu"
"Template Name","Název šablony"
"Template has been loaded.","Šablona byla načtena."
"Template has been saved.","Šablona byla uložena."
"Are you sure you want to remove the template?","Opravdu chcete šablonu smazat?"
"No template has been found.","Nemáte uložené žádné šablony."
"Virtual operators (MVNO)","Virtuální operátoři (MVNO)"
"Select coupon","Vybrat poukaz"
"Create coupon","Vytvořit poukaz"
"Please Select","Vyberte"
"SIMULATION","SIMULACE"
"DELETED","SMAZÁNO"
"SCHEDULED","NAPLÁNOVÁNO"
"DO NOT DISTURB registry (DND)","DO NOT DISTURB registr (DND)"
"DUPLICATE","DUPLIKÁT"
"Add recipients in CSV(.csv, .txt) or vCARD(.vcf)","Přidejte příjemce ve formátu CSV(.csv, .txt) nebo vCARD(.vcf)"
"Returns","Reklamace"
"We confirm we have received your request to claim the goods.","Dekujeme za odeslani pozadavku na reklamaci zbozi. Vase zadost bude odeslana ke zpracovani na odpovidajici oddeleni."
"New claim from customer was received.","Byla prijata reklamace."
"Status of a claim {return_id} has changed to ","Stav reklamace {return_id} se zmenil na "
". Info from {shop_name}.",". Info z {shop_name}."
"Dear Customer, status of your claim {return_id} has changed to ","Vazeny zakazniku, stav Vasi reklamace {return_id} se zmenil na "
". Have a nice day, {shop_name}.",". Krasny den, {shop_name}."
"ADD/CHANGE TEXT SENDER ID","PŘIDAT/ZMĚNIT TEXTOVÉ ČÍSLO"
"Delete history","Smazat historii"
"Are you sure to delete SMS history?","Opravdu chcete smazat SMS historii?"
"SMS history was deleted.","SMS historie byla smazána."
"Add SMS product to cart:","Přidávat do košíku SMS produkt:"
"Automatically","Automaticky"
"Manually","Manuálně"
"SMS opt-out - setting Marketing SMS opt-out option for the customer from the user profile","SMS opt-out - nastavení odhlášení Marketingových SMS z uživatelského profilu zákazníka"
"Activate displaying Marketing SMS opt-out feature in the user profile","Aktivuj zobrazení opt-out funkce pro Marketingové SMS v uživatelském profilu"
