"lang_iso_code","pl"
"Text sender ID settings"," Ustawienia nadawcę tekstu:"
"Existing Text sender ID:","Istniejący nadawca tekstu:"
"New Text sender ID:","Nowy nadawca tekstu:"
"max. 11 characters","max. 11 znaków"
"SMS Settings","Ustawienia SMS"
"Define SMS Sender Type for each country separately (Text sender ID, Own mobile number or System number). SMS price depends on the recipient country, selected SMS sender type and amount of payment. In countries with undefined SMS sender type will be used System number sender type.","Określ typ nadawcy dla każdego kraju. (nadawca tekstu, własny numer telefonu komórkowego lub numer systemowy). Cena SMS zależy od kraju odbiorcy, typu nadawcy oraz kwoty do zapłaty. W przypadku krajów z nieokreślonym typem nadawcy będzie wykorzystany numer systemowy."
"Customer SMS settings","Ustawienia SMS klienta"
"ADD/CHANGE SELECTED COUNTRY","DODAJ / ZMIEŃ wybrany kraj"
"SENDER TYPE","TYP NADAWCY"
"NETWORK","SIEĆ"
"SMS PRICE<br />IN CREDITS","SMS PRICE<br />IN CREDITS"
"SMS PRICE IN EUR (excl. VAT)","CENA SMS W EUR (bez VAT)"
"payment","Płatność"
"Unicode ","Unicode "
"Unicode characters support (Unicode allows you to enter characters in all fonts and various symbols simultaneously. Is used for Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message)","Wsparcie Unicode znaków (Unicode pozwala na wykorzystanie jednocześnie różnej czcionki, symboli i znaków. Jest on używany dla języków takich jak chiński, arabski, grecki, hebrajski, koreański, itp.)."
"TEXT SENDER ID","TEKSTOWY NUMER NADAWCY"
"Text sender ID","Tekstowy numer nadawcy"
"SYSTEM NUMBER","NUMER SYSTEMOWY"
"OWN NUMBER SENDER ID","WŁASNY NUMER NADAWCY"
"SIM HOSTING","SIM HOSTING"
"UNICODE SUPPORTED","UNICODE OBSŁUGIWANY"
"UNICODE NOT SUPPORTED","UNICODE NIE JEST OBSŁUGIWANY"
"SAVE SMS SETTINGS","ZAPISZ USTAWIENIA SMS"
"Are you sure to delete","Czy na pewno chcesz usunąć"
"Select country: ","Wybierz kraj: "
"SMS settings - not active","Ustawienia SMS - nieaktywne"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Profil użytkownika nie jest aktywny! Dokonaj rejestracji, klikając na zakładkę SMS w głównym menu. Moduł udostępni formularz rejestracyjny. Jeśli korzystałeś w przeszłości i znasz swoją nazwę użytkownika i hasło, należy wypełnić formularz dla istniejącego konta. W innym przypadku, wpisz adres e-mail, zaakceptuj warunki umowy licencyjnej i kliknij na ""Zarejestruj ""."
"error","Błąd"
"can not connect to SMS server","Nie można połączyć się z serwerem SMS"
" was deleted."," został usunięty."
"choose sender type","Wybierz typ nadawcy"
" was saved."," został zapisany."
"fill in own number sender ID","Wypełnij własny numer nadawcy"
"own number sender ID must be number"," własny numer nadawcy musi być liczbą"
"correctly confirm sms code","potwierdź poprawny kod SMS"
"Own number sender ID for ","Własny numer nadawcy dla "
" was saved."," został zapisany."
"error - ","Błąd - "
"login error","Błąd logowania"
"Now retype SMS code.","Teraz zmień kod sms"
"Now retype SMS code. SMS will be send in next 60 seconds.","Teraz zmień kod sms. Wiadomość SMS zostanie wysłana w ciągu następnych 60 sekund."
"error - wrong number or unavailable","error - błędny lub niedostępny numer "
"error - unauthorized senderID in confirmation sms","Błąd - nieautoryzowane ID nadawcy w potwierdzającym SMS"
"error - low credit for sending validation SMS","Błąd - niski kredyt na wysyłanie wiadomości SMS"
"fill in text sender ID","Wypełnij tekstowy numer nadawcy"
"fill in text sender ID, 3-11 characters","Wypełnij tekstowy numer nadawcy ,3-11 znaków"
"possible characters: ","dopuszczalne znaki:"
"text sender ID can't be number","tekstowy numer nadawcy nie może być liczbą"
"Text sender ID for ","tekstowy numer nadawcy dla "
"Admin SMS settings","Ustawianie Admin SMS"
"VALIDATE","ZATWIERDZIĆ"
"SMS validation","SMS walidacji"
"Confirmation code: ","Kod: "
"Update pricelist","Aktualizacja ceny"
"e.g.:","np.:"
"Pricelist was successfully updated.","Cennik został zaktualizowany."
"edit","edycja"
"delete","usuń"
"Your online stores","Twoje sklepy internetowe"
"SMS opt-out","SMS opt-out"
"SMS opt-out - setting SMS opt-out option from the cart and SMS charging","SMS opt-out - ustawienie wpisywania powiadomienia SMS z koszyka zakupowego i pobieranie opłat za SMS"
"Select an online store for which you want to set in the cart option to unsubscribe SMS notifications, setup cost of SMS messages and define the text that is displayed to the customer in the cart.","Wybierz sklep internetowy, w którym chcesz ustawić, aby klient w koszyku zakupowym miał możliwość wypisania wiadomości SMS, określ cenę SMS i zdefiniuj tekst, który jest widoczny dla klientów w koszyku."
"For sending SMS prefer phone nr. from:","W celu wysłania wiadomości SMS preferuj nr tel.z:"
"invoice address","adresu rozliczeniowego"
"delivery address","adresu wysyłkowego"
"Price of SMS","Cena wiadomości SMS"
"Text displayed in the cart","Tekst wyświetlany w koszyku"
"Activate displaying SMS opt-out feature in the cart","Aktywuj funkcję podglądu SMS opt-out w koszyku"
"SMS opt-out is ACTIVE","SMS opt-out jest AKTYWNY"
"SMS opt-out is NOT ACTIVE. To activate SMS opt-out check the checkbox „Activate displaying SMS opt-out feature in the cart“","SMS opt-out jest NIEAKTYWNY. Aktywacji SMS opt-out dokonasz wybierając opcję „Aktywuj funkcję podglądu SMS opt-out w koszyku“"
"Setting of the SMS opt-out feature was successfully changed","Ustawienia funkcji SMS opt-out zostały pomyślnie zmienione"
"Price of SMS messages has changed in the following countries:","Zmiana ceny wiadomości SMS dla następujących państw:"
"New version available for download:","Dostępna jest nowa wersja:"
"Manual:","Instrukcja (ENG):"
"www.presta-sms.com/manual.html","www.presta-sms.com/manual.html"
"Supported PrestaShop versions:","Obsługiwane wersje Prestashop:"
"1.5.x","1.5.x"
"Contact form","Formularz kontaktowy"
"Remove duplicate numbers","Usuń zduplikowane numery"
"Registration type:","Typ Rejestracja:"
"Personal","Indywidualny"
"Business","Firma"
"Address","Adres"
"Billing information","Informacje o płatnościach"
"Contact person","Osoba kontaktowa"
"Enter the name of the company.","Wpisz nazwę firmy."
"Invalid VAT","Nieprawidłowy VAT"
"Statistics","Statystyka"
"Statistics - not active","Statystyka - nieaktywny"
"day","dzień"
"Date from:","Data od:"
"to:","do:"
"Mage SMS module 2013-%s, version ","Mage SMS moduł 2013-%s, wersja "
"Supported Magento versions:","Obsługiwane wersje Magento:"
"www.mage-sms.com/manual.html","www.mage-sms.com/manual.html"
"www.mage-sms.com","www.mage-sms.com"
"www.mage-sms.com/index.html","www.mage-sms.com/pl/index.html"
"SIMULATION","SYMULACJA"
"DELETED","USUNIĘTA"
"SCHEDULED","PLANOWANA"
"DUPLICATE","DUPLIKAT"
"ADD/CHANGE TEXT SENDER ID","DODAJ/ZMIEŃ TEKSTOWY NUMER"
"Add SMS product to cart:","Dodaj produkt SMS do koszyka:"
"Automatically","automatycznie"
"Manually","ręcznie"
"SMS opt-out - setting Marketing SMS opt-out option for the customer from the user profile","SMS opt-out - setting Marketing SMS opt-out option for the customer from the user profile"
"Activate displaying Marketing SMS opt-out feature in the user profile","Activate displaying Marketing SMS opt-out feature in the user profile"
