"lang_iso_code","sv"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Användarprofil är inaktiv! För att registrera klicka på fliken SMS i huvudmenyn. Modul visas då på skärmen för att skriva in registreringsdata. Om du har använt vår modul tidigare och du vet ditt användarnamn och lösenord, fyll i formuläret för befintligt konto. Annars fyll i din E-postadress, acceptera licensvillkoren och klicka på registrera."
"error","Fel"
"can not connect to SMS server","Kan inte ansluta till SMS servern"
" was deleted."," Togs bort."
"choose sender type","välja avsändare typ"
" was saved.","Sparades."
"fill in own number sender ID","Fyll i eget antal avsändare ID"
"own number sender ID must be number","Eget nummer avsändarens ID måste vara nummer"
"correctly confirm sms code","Korrekt bekräfta sms kod"
"Own number sender ID for ","Eget avsändare ID nummer för "
" was saved."," Sparades."
"error - ","Fel - "
"login error","Inloggningsfel"
"Now retype SMS code.","Nu skriva om SMS kod."
"Now retype SMS code. SMS will be send in next 60 seconds.","Nu skriva in SMS kod. SMS kommer att skickas inom 60 sekunder."
"error - wrong number or unavailable","Fel - Fel nummer eller saknas"
"error - unauthorized senderID in confirmation sms","Fel - Otillåten avsändare ID i bekräftelse sms"
"error - low credit for sending validation SMS","Fel - Låg kredit för att skicka SMS validering"
"fill in text sender ID","Fyll i text avsändare ID"
"fill in text sender ID, 3-11 characters","Fyll i text avsändare ID, 3-11 tecken"
"possible characters: ","Möjliga tecken: "
"text sender ID can't be number","Text avsändare ID kan inte vara nummer"
"Text sender ID for ","Text avsändare ID för "
"Admin SMS settings","Admin SMS inställningar"
"VALIDATE","BEKRÄFTA"
"SMS validation","Validering SMS "
"Confirmation code: ","Verifieringskod: "
"Update pricelist","Uppdatera prislista"
"e.g.:","t ex:"
"Pricelist was successfully updated.","Prislista har uppdaterats med lyckat resultat."
"edit","Redigera"
"delete","Ta bort"
"Your online stores","Dina nätbutiker"
"SMS opt-out","Valmöjlighet för SMS"
"SMS opt-out - setting SMS opt-out option from the cart and SMS charging","Välj SMS-avisering vid leverans - Ge kunden möjlighet att kunna få SMS-avisering i varukorgen"
"Select an online store for which you want to set in the cart option to unsubscribe SMS notifications, setup cost of SMS messages and define the text that is displayed to the customer in the cart.","Välj en onlinebutik som du vill ställa in möjlighet att erbjuda kunden SMS-avisering, och kostnaden för SMS samt definiera texten som visas för kunden i varukorgen. "
"invoice address","Fakturaadress"
"delivery address","Leveransadress"
"Price of SMS","Pris för SMS"
"Text displayed in the cart","Text som visas i varukorgen"
"Activate displaying SMS opt-out feature in the cart","Aktivera visning av SMS val funktionen i varukorgen"
"SMS opt-out is ACTIVE","SMS val är AKTIVERAT"
"SMS opt-out is NOT ACTIVE. To activate SMS opt-out check the checkbox „Activate displaying SMS opt-out feature in the cart“","SMS val är INAKTIVERAT. För att aktivera SMS val markera kryssrutan ""Aktivera visning av SMS val funktionen i varukorgen“"
"Setting of the SMS opt-out feature was successfully changed","Inställning av SMS val funktionen ändrades med lyckat resultat"
"Price of SMS messages has changed in the following countries:","Pris för SMS har förändrats i följande länder:"
"New version available for download:","Ny version finns för nedladdning:"
"Manual:","Manual:"
"Contact form","Kontaktformulär"
"Remove duplicate numbers","Ta bort dubbletter"
"Registration type:","Registreringstyp:"
"Personal","Personlig"
"Business","Företag"
"Address","Adress"
"Billing information","Faktureringsinformation"
"Contact person","Kontaktperson"
"Enter the name of the company.","Skriv in namnet på företaget."
"Invalid VAT","Ogiltigt momsregistreringsnummer"
"Statistics","Statistik"
"Statistics - not active","Statistik - inte aktivt"
"day","Dag"
"Date from:","Datum från:"
"to:","Till:"
"Removed Customers: ","Ta bort kund: "
"More...","Mer…"
"Saved Filters","Sparade filter"
"Save filter","Spara filter"
"Reset filter","Återställ filter"
"Filter Name","Filternamn"
"Date","Datum"
"Filter has been applied.","Filter har tillämpats."
"Filter has been saved.","Filter har sparats."
"Filter has been reset.","Filter har återställts."
"Are you sure you want to reset the filter?","Är du säker på att du vill återställa filter?"
"Are you sure you want to remove the filter?","Är du säker på att du vill ta bort filtret?"
"No filter has been found.","Ingen filtrering har hittats."
"We are processing your request","Vi behandlar din begäran"
"Saved Templates","Sparade mallar"
"Save template","Spara mall"
"Template Name","Mallnamn"
"Template has been loaded.","Mall har laddats."
"Template has been saved.","Mall har sparats."
"Are you sure you want to remove the template?","Är du säker på att du vill ta bort mallen?"
"No template has been found.","Ingen mall har hittats."
"Virtual operators (MVNO)","Virtuella operatörer (MVNO)"
"Select coupon","Välj kupong"
"Create coupon","Skapa kupong"
"Please Select","Vänligen välj"
"For sending SMS prefer phone nr. from:","För att skicka SMS föredrar jag telefonnummer. från:"
"SIMULATION","SIMULERING"
"DELETED","RADERAD"
"SCHEDULED","PLANERAD"
"DUPLICATE","DUBBLERA"
"DO NOT DISTURB registry (DND)","STÖR INTE registret (DND)"
"Add recipients in CSV(.csv, .txt) or vCARD(.vcf)","Lägg till mottagare i CSV (csv, txt) eller vCard(.vcf)"
"Returns","Returer"
"We confirm we have received your request to claim the goods.","Vi bekräftar att vi har tagit emot din begäran om att göra anspråk på en varuretur."
"New claim from customer was received.","Nytt krav från kund mottaget."
"Status of a claim {return_id} has changed to ","Status för en fordran {return_id} har ändrats till"
". Info from {shop_name}.",". Information från {shop_name}."
"Dear Customer, status of your claim {return_id} has changed to ","Bäste kund, status för ditt krav {return_id} har ändrats till "
". Have a nice day, {shop_name}.",". Ha en trevlig dag, {shop_name}."
"Add SMS product to cart:","Lägg till möjligheten att i varukorgen kunna välja att få SMS vid leverans :"
"Automatically","Automatiskt"
"Manually","Manuellt"
"Mage SMS module 2013-%s, version ","Mage SMS modul 2013-%s version "
"Supported Magento versions:","Supportad Magento version:"
"Delete history","Rensa historik"
"Are you sure to delete SMS history?","Är du säker på att radera SMS historik?"
"SMS history was deleted.","SMS historia raderades."
"ADD/CHANGE TEXT SENDER ID","LÄGG TILL/ÄNDRA TEXT AVSÄNDARE ID"
"Add SMS product to cart:","Lägg till möjligheten att i varukorgen kunna välja att få SMS vid leverans :"
"Automatically","Automatiskt"
"Manually","Manuellt"
"SMS opt-out - setting Marketing SMS opt-out option for the customer from the user profile","SMS opt-out - setting Marketing SMS opt-out option for the customer from the user profile"
"Activate displaying Marketing SMS opt-out feature in the user profile","Activate displaying Marketing SMS opt-out feature in the user profile"
