"lang_iso_code","pt"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","O perfil do usuário não é ativo! Registe-se, clicando na guia SMS no menu principal. Módulo vai mostrar-lhe o formulário de registo. Se você usou este módulo no passado e conhece o seu nome de usuário e a senha, preencha o formulário para uma conta existente. Caso contrário, digite o email, aceite os termos de licença e clique em ""Registar""."
"error","erro"
"can not connect to SMS server","não se pode conectar ao servidor de SMS"
" was deleted."," foi apagado."
"choose sender type","Selecione o tipo de remetente"
" was saved."," foi guardado."
"fill in own number sender ID","Preencha o seu próprio número de remetente"
"own number sender ID must be number","Próprio número de remetente tem que ser número"
"correctly confirm sms code","confirme correctamente o código de sms"
"Own number sender ID for ","Próprio número do remetente para"
" was saved."," foi guardado."
"error - ","erro - "
"login error","erro de login"
"Now retype SMS code.","Agora reescreva o código de sms."
"Now retype SMS code. SMS will be send in next 60 seconds.","Agora reescreva o código de sms. A mensagem SMS será enviada nos próximos 60 segundos."
"error - wrong number or unavailable","erro - número errado ou indisponível"
"error - unauthorized senderID in confirmation sms","erro - identificação do remetente não-autorizado na SMS de confirmação"
"error - low credit for sending validation SMS","baixo nível de crédito para o envio de SMS de validação"
"fill in text sender ID","Preencha o número de texto de remetente"
"fill in text sender ID, 3-11 characters","Preencha o número de texto de remetente, 3-11 caracteres"
"possible characters: ","caracteres utilizáveis: "
"text sender ID can't be number","número de texto do remetente não pode ser número"
"Text sender ID for ","Número de texto do remetente para "
"Admin SMS settings","Ajuste de Admin SMS"
"VALIDATE","VALIDAR"
"SMS validation","validação de SMS"
"Confirmation code: ","Código: "
"Update pricelist","Atualizar o preço"
"e.g.:","por exemplo:"
"Pricelist was successfully updated.","A lista de preços foi atualizada com sucesso."
"edit","editar"
"delete","excluir"
"Your online stores","As suas lojas online"
"SMS opt-out","SMS opt-out"
"SMS opt-out - setting SMS opt-out option from the cart and SMS charging","SMS opt-out - ajuste de anulação de avisos por SMS no carrinho de compras e o pagamento por mensagens SMS"
"Select an online store for which you want to set in the cart option to unsubscribe SMS notifications, setup cost of SMS messages and define the text that is displayed to the customer in the cart.","Selecione uma loja online para a qual você deseja definir que o cliente tenha a possibilidade de anular os avisos SMS no carrinho de compras, defina o preço de mensagens SMS e o texto que o cliente vai ver no carrinho de compras."
"For sending SMS prefer phone nr. from:","Prefere enviar SMS do número de telefone de:"
"invoice address","endereço de cobrança"
"delivery address","endereço de entrega"
"Price of SMS","Preço de mensagens SMS"
"Text displayed in the cart","O texto no carrinho de compras"
"Activate displaying SMS opt-out feature in the cart","Ativa a exibição da função SMS opt-out no carrinho de compras"
"SMS opt-out is ACTIVE","SMS opt-out ATIVO"
"SMS opt-out is NOT ACTIVE. To activate SMS opt-out check the checkbox „Activate displaying SMS opt-out feature in the cart“","SMS opt-out INATIVO. Para ativar SMS opt-out verifique „Ativa a exibição de função SMS opt-out no carrinho de compras“"
"Setting of the SMS opt-out feature was successfully changed","A definição de função SMS opt-out foi alterada com sucesso"
"Price of SMS messages has changed in the following countries:","Câmbio de preço de mensagens SMS nos seguintes países:"
"New version available for download:","Há uma nova versão:"
"Manual:","Manual para o módulo SMS (em inglês):"
"www.presta-sms.com/manual.html","www.sms-prestashop.com/manual.html"
"Supported PrestaShop versions:","Versões suportadas do PrestaShop:"
"1.5.x","1.5.x"
"Contact form","Formulário de Contato"
"Remove duplicate numbers","Remover números duplicados"
"Registration type:","Tipo de inscrição:"
"Personal","Pessoal"
"Business","Empresa"
"Address","Endereço"
"Billing information","Informações de faturamento"
"Contact person","Person contact"
"Enter the name of the company.","Digite o nome da empresa."
"Invalid VAT","IVA inválido"
"Statistics","Estatística"
"Statistics - not active","Estatística - não ativa"
"day","dia"
"Date from:","Data de:"
"to:","a:"
"Mage SMS module 2013-%s, version ","Módulo Mage SMS 2013-%s, a versão "
"Supported Magento versions:","Versões suportadas do Magento:"
"www.mage-sms.com/manual.html","www.mage-sms.com/manual.html"
"www.mage-sms.com","www.mage-sms.com"
"www.mage-sms.com/index.html","www.mage-sms.com/pt/index.html"
"Removed Customers: ","Clientes removido: "
"More...","Mais..."
"Saved Filters","Filtros salvos"
"Save filter","Salve filtro"
"Reset filter","Redefiniçao de filtro"
"Filter Name","Nome do filtro"
"Date","Data"
"Filter has been applied.","Filtro foi aplicado."
"Filter has been saved.","Filtro foi salvo."
"Filter has been reset.","Filtro foi redefinida."
"Are you sure you want to reset the filter?","Tem certeza de que deseja redefinir o filtro?"
"Are you sure you want to remove the filter?","Tem certeza de que deseja remover o filtro?"
"No filter has been found.","O filtro nao foi encontrado."
"Processing...","Processamento..."
"Saved Templates","Templates salvos"
"Save template","Salve template"
"Template Name","Nome do template"
"Template has been loaded.","Template é carregado."
"Template has been saved.","Template foi salvo."
"Are you sure you want to remove the template?","Tem certeza de que deseja remover o template?"
"No template has been found.","Template nao encontrada."
"Virtual operators (MVNO)","Operadores virtuais (MVNO)"
"Select coupon","Selecione um cupom"
"Create coupon","Criar um cupom"
"Please Select","Selecione"
"SIMULATION","SIMULAÇAO"
"DELETED","DELETED"
"SCHEDULED","PROGRAMADO"
"DO NOT DISTURB registry (DND)","DO NOT DISTURB registro (DND)"
"DUPLICATE","DUPLICADO"
"Add recipients in CSV(.csv, .txt) or vCARD(.vcf)","Adicione um destinatário no arquivo CSV (.csv, .txt) ou vCard (.vcf)"
"Returns","Devoluçao"
"We confirm we have received your request to claim the goods.","Confirmaçao da denúncia."
"New claim from customer was received.","Recebido nova reivindicaçao."
"Status of a claim {return_id} has changed to ","O estado da devoluçao {return_id} modificou a "
". Info from {shop_name}.",". Informaçoes de {shop_name}."
"Dear Customer, status of your claim {return_id} has changed to ","Caro cliente, o estado da sua devoluçao {return_id} modificou a "
". Have a nice day, {shop_name}.",". Bom dia, {shop_name}."
"ADD/CHANGE TEXT SENDER ID","ADICIONAR/ALTERAR NÚMERO DE TEXTO"
"Add SMS product to cart:","Adicionar o produto SMS ao carrinho:"
"Automatically","automaticamente"
"Manually","manualmente"
"SMS opt-out - setting Marketing SMS opt-out option for the customer from the user profile","SMS opt-out - setting Marketing SMS opt-out option for the customer from the user profile"
"Activate displaying Marketing SMS opt-out feature in the user profile","Activate displaying Marketing SMS opt-out feature in the user profile"
