"lang_iso_code","rs"
"Define SMS Sender Type for each country separately (Text sender ID, Own mobile number or System number). SMS price depends on the recipient country, selected SMS sender type and amount of payment. In countries with undefined SMS sender type will be used System number sender type.","Definisati SMS tip pošiljaoca za svaku zemlju posebno (Tekst pošiljaoca ID, sopstveni broj mobilnog telefona ili sistemski broj). Cena SMSa zavisi od zemlje primaoca, izabranog tipa SMS pošiljaoca i iznosa plaćanja. U zemljama sa nedefinisanim tipom SMS pošiljaoca tip pošiljaoca sa sistemskim brojem će biti primenjen."
"Customer SMS settings","Klijentova SMS podešavanja"
"SENDER TYPE","TIP POŠILJAOCA"
"NETWORK","MREŽA"
"SMS PRICE<br />IN CREDITS","CENA SMSa<br />U KREDITA"
"SMS PRICE IN EUR (excl. VAT)","CENA SMSa U EVRIMA (bez PDVa)"
"payment","plaćanje"
"Unicode ","Unicode "
"Unicode characters support (Unicode allows you to enter characters in all fonts and various symbols simultaneously. Is used for Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message)","Podrška za Unicode simbole (Unicode dozvoljava unošenje karaktera u svim fontovima i raznih drugih simbola u isto vreme. Koristi se za Kinesko pismo, arapsko, Grčko, Korenasko, Hebrejsko, Ćirilično, itd. ili za dijakritičke znake u tekstu SMS poruke)"
"TEXT SENDER ID","TEKST POŠILJAOC ID"
"Text sender ID","Tekst pošiljaoc ID"
"SYSTEM NUMBER","SISTEMSKI BROJ"
"OWN NUMBER SENDER ID","SOPSTVENI BROJ POŠILJAOCA ID"
"SIM HOSTING","SIM HOSTING"
"UNICODE SUPPORTED","UNICODE PODRŽAN"
"UNICODE NOT SUPPORTED","UNICODE NIJE PODRŽAN"
"SAVE SMS SETTINGS","SAČUVATI SMS PODEŠAVANJA"
"Are you sure to delete","Da li ste sigurni da želite izbrisati"
"Select country: ","Izabrati zemlju: "
"ADD/CHANGE SELECTED COUNTRY","DODATI/IZMENITI ODABRANU ZEMLJU"
"SMS settings - not active","SMS podešavanja - nije aktivno"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Profil korisnika nije aktivan! Da bi se registrovali kliknite na SMS odeljak u glanom meniu. Modul će prikazati prozor za registraciju podataka. Ako ste prethodno već koristli naš formular i imate korisničko ime i lozinku, popunite obrazac za postojeći nalog. U suprotnom upišite email, prihvatite uslove korišćenja i potvrdite registraciju."
"error","greška"
"can not connect to SMS server","nije moguće povezati se na SMS server"
" was deleted."," je izbrisano."
"choose sender type","izabrati tip pošiljaoca"
" was saved."," je sačuvano."
"fill in own number sender ID","uneti sopstveni broj pošiljaoca ID"
"own number sender ID must be number","sopstveni broj pošiljaoca ID mora biti broj"
"correctly confirm sms code","ispravno potvrditi sms kod"
"Own number sender ID for ","sačuvati broj pošiljaoca ID za "
" was saved."," je sačuvano."
"error - ","greška - "
"login error","greška pri logovanju"
"Now retype SMS code.","Sada ponovo unesite SMS kod."
"Now retype SMS code. SMS will be send in next 60 seconds.","Sada ponovo unesite SMS kod. SMS će biti poslat u narednih 60 sekundi."
"error - wrong number or unavailable","greška - pogrešan broj ili nedostupan"
"error - unauthorized senderID in confirmation sms","greška - nedostupan pošiljaoc ID u potvrdi sms"
"error - low credit for sending validation SMS","greška - nedovoljan kredit za slanje validacionog SMS"
"fill in text sender ID","uneti tekst pošiljaoca ID"
"fill in text sender ID, 3-11 characters","uneti tekst pošiljaoca ID, 3-11 karaktera"
"possible characters: ","mogući karakteri: "
"text sender ID can't be number","tekst posiljaoca ID ne može biti broj"
"Text sender ID for ","Tekst pošiljaoca ID za "
"Admin SMS settings","Admin SMS podešavanja"
"VALIDATE","VALIDIRATI"
"SMS validation","SMS validacija"
"Confirmation code: ","Kod potvrde: "
"Update pricelist","Ažurirati cenovnik"
"e.g.:","na pr.:"
"Pricelist was successfully updated.","Cenovnik je uspešno ažuriran."
"edit","izmeniti"
"delete","izbrisati"
"Your online stores","Vaše online prodavnice"
"SMS opt-out","SMS opt-out"
"SMS opt-out - setting SMS opt-out option from the cart and SMS charging","SMS opt-out - podešavanje SMS opt-out opcije u korpi i naplata SMSa"
"Select an online store for which you want to set in the cart option to unsubscribe SMS notifications, setup cost of SMS messages and define the text that is displayed to the customer in the cart.","Izabrati online prodavnicu za koju želite podesiti opciju u korpi za odjavu sa liste za obaveštenja SMSovima, određivanje troška SMS poruka i definisanje teksta koji će biti prikazan klijentu u korpi."
"For sending SMS prefer phone nr. from:","Za slanje SMSova staviti broj telefona umesto:"
"invoice address","adrese na računu"
"delivery address","adrese dostavke"
"Price of SMS","Cena poruke"
"Text displayed in the cart","Tekst prikazan u korpi"
"Activate displaying SMS opt-out feature in the cart","Aktivirati prikazivanje SMS opt-out opcije u korpi"
"SMS opt-out is ACTIVE","SMS opt-out je AKTIVIRAN"
"SMS opt-out is NOT ACTIVE. To activate SMS opt-out check the checkbox „Activate displaying SMS opt-out feature in the cart“","SMS opt-out NIJE AKTIVIRAN. Da bi se aktivirao SMS opt-out obeležiti kućicu „Aktivirati prikaz SMS opt-out opcije u korpi“"
"Setting of the SMS opt-out feature was successfully changed","Podešavanje SMS opt-out opcije je uspešno izmenjeno"
"Price of SMS messages has changed in the following countries:","Cena SMS poruke je promenjena u sledećim zemljama:"
"New version available for download:","Nova verzija dostupna za preuzimanje:"
"Manual:","Manual za SMS Modul (ENG):"
"www.presta-sms.com/manual.html","www.presta-sms.com/manual.html"
"Supported PrestaShop versions:","Podržane verzije PrestaShop:"
"1.5.x","1.5.x"
"Contact form","Kontakt formular"
"Remove duplicate numbers","Uklonite duplirane"
"Registration type:","Registracija tip:"
"Personal","Lični"
"Business","Služben"
"Address","Adresa"
"Billing information","Informacije za obračun"
"Contact person","Kontakt osoba"
"Enter the name of the company.","Unesite naziv preduzeća."
"Invalid VAT","Nevažeći PDV"
"Statistics","Statistika"
"Statistics - not active","Statistika - nije aktivno"
"day","dan"
"Date from:","Datum od:"
"to:","do:"
"Mage SMS module 2013-%s, version ","Mage SMS modul 2013-%s, version "
"Supported Magento versions:","Podržane verzije Magento:"
"www.mage-sms.com/manual.html","www.mage-sms.com/manual.html"
"www.mage-sms.com","www.mage-sms.com"
"www.mage-sms.com/index.html","www.mage-sms.com/rs/index.html"
"SIMULATION","SIMULACIJA"
"DELETED","DELETED"
"SCHEDULED","SCHEDULED"
"DO NOT DISTURB registry (DND)","DO NOT DISTURB registry (DND)"
"DUPLICATE","DUPLIKAT"
"ADD/CHANGE TEXT SENDER ID","DODATI/ZMENITI TEKST ID"
"Add SMS product to cart:","Dodaj proizvod SMS u korpu:"
"Automatically","automatsko"
"Manually","ručno"
"SMS opt-out - setting Marketing SMS opt-out option for the customer from the user profile","SMS opt-out - setting Marketing SMS opt-out option for the customer from the user profile"
"Activate displaying Marketing SMS opt-out feature in the user profile","Activate displaying Marketing SMS opt-out feature in the user profile"
